Product Category,Manufacturers,Country of location,Location
FTW,"FREEVIEW INDUSTRIAL (VIETNAM) CO., LTD.",Viet Nam,VN
FTW,Athena Viet Nam Footwear Company Limited,Viet Nam,VN
ACC,"Shanghai Weijie Garment Co., LTD",China,CN
FTW,CYPRESS VIET NAM FOOTWEAR LIMITED,Viet Nam,VN
ACC,Gelal Corap A.S,Turkiye,TR
FTW,"Fulgent Sun Footwear CO.,LTD",Viet Nam,VN
FTW,PT. LONG RICH INDONESIA,Indonesia,ID
FTW,"Global Running CO., LTD.",Viet Nam,VN
ACC,Intersocks d.o.o.,Slovenia,SI
FTW,Vinh Yen Footwear Joint Stock Company,Viet Nam,VN
ACC,"Shanghai Icon Sporting Goods Co., Ltd.",China,CN
ACC,"Hangzhou U-jump Arts & Crafts Co.,Ltd",China,CN
ACC,PT UWU JUMP INDODESIA,Indonesia,ID
APP,MAXPORT LIMITED VIETNAM ,Viet Nam,VN
APP,PETRATEX CONFECÇÕES S.A.,Portugal,PT
APP,"TMVW MANUFACTURING CO., LTD. ",Viet Nam,VN
APP,"VIET NADIA CLOTHING CO., LTD",Viet Nam,VN
APP / ACC,PUNGKOOK SAIGON TWO CORP,Viet Nam,VN
FTW,Pro Well Vietnam CO LTD,Viet Nam,VN
APP,REGINA MIRACLE INTERNATIONAL (GROUP) LIMITED,Viet Nam,VN
APP,VIET THUAN APPAREL COMPANY LIMITED,Viet Nam,VN
APP,SLN TEKSTIL ve MODA SAN. TIC. A.S.,Turkiye,TR
FTW,Diamond Vietnam CO LTD,Viet Nam,VN
APP,"YOUNGONE NAM DINH CO., LTD",Viet Nam,VN
ACC,"HUNG WAY CO., LTD. ",Viet Nam,VN
APP,Aster,Turkiye,TR
